"emoji.chars","emoji.descriptions"
"<U+0001F469><U+0001F3FF>","<U+200D><U+0001F9AF> woman with probing cane: dark skin tone"
"<U+0001F468><U+200D>","<U+0001F9BC> man in motorized wheelchair"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F9BC> man in motorized wheelchair: light skin tone"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F9BC> man in motorized wheelchair: medium-light skin tone"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F9BC> man in motorized wheelchair: medium skin tone"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F9BC> man in motorized wheelchair: medium-dark skin tone"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F9BC> man in motorized wheelchair: dark skin tone"
"<U+0001F469><U+200D>","<U+0001F9BC> woman in motorized wheelchair"
"<U+0001F469><U+0001F3FB>","<U+200D><U+0001F9BC> woman in motorized wheelchair: light skin tone"
"<U+0001F469><U+0001F3FC>","<U+200D><U+0001F9BC> woman in motorized wheelchair: medium-light skin tone"
"<U+0001F469><U+0001F3FD>","<U+200D><U+0001F9BC> woman in motorized wheelchair: medium skin tone"
"<U+0001F469><U+0001F3FE>","<U+200D><U+0001F9BC> woman in motorized wheelchair: medium-dark skin tone"
"<U+0001F469><U+0001F3FF>","<U+200D><U+0001F9BC> woman in motorized wheelchair: dark skin tone"
"<U+0001F468><U+200D>","<U+0001F9BD> man in manual wheelchair"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F9BD> man in manual wheelchair: light skin tone"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F9BD> man in manual wheelchair: medium-light skin tone"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F9BD> man in manual wheelchair: medium skin tone"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F9BD> man in manual wheelchair: medium-dark skin tone"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F9BD> man in manual wheelchair: dark skin tone"
"<U+0001F469><U+200D>","<U+0001F9BD> woman in manual wheelchair"
"<U+0001F469><U+0001F3FB>","<U+200D><U+0001F9BD> woman in manual wheelchair: light skin tone"
"<U+0001F469><U+0001F3FC>","<U+200D><U+0001F9BD> woman in manual wheelchair: medium-light skin tone"
"<U+0001F469><U+0001F3FD>","<U+200D><U+0001F9BD> woman in manual wheelchair: medium skin tone"
"<U+0001F469><U+0001F3FE>","<U+200D><U+0001F9BD> woman in manual wheelchair: medium-dark skin tone"
"<U+0001F469><U+0001F3FF>","<U+200D><U+0001F9BD> woman in manual wheelchair: dark skin tone"
"<U+0001F3C3>","person running"
"<U+0001F3C3><U+0001F3FB>","person running: light skin tone"
"<U+0001F3C3><U+0001F3FC>","person running: medium-light skin tone"
"<U+0001F3C3><U+0001F3FD>","person running: medium skin tone"
"<U+0001F3C3><U+0001F3FE>","person running: medium-dark skin tone"
"<U+0001F3C3><U+0001F3FF>","person running: dark skin tone"
"<U+0001F3C3><U+200D>","<U+2642><U+FE0F> man running"
"<U+0001F3C3><U+200D>","<U+2642> man running"
"<U+0001F3C3><U+0001F3FB>","<U+200D><U+2642><U+FE0F> man running: light skin tone"
"<U+0001F3C3><U+0001F3FB>","<U+200D><U+2642> man running: light skin tone"
"<U+0001F3C3><U+0001F3FC>","<U+200D><U+2642><U+FE0F> man running: medium-light skin tone"
"<U+0001F3C3><U+0001F3FC>","<U+200D><U+2642> man running: medium-light skin tone"
"<U+0001F3C3><U+0001F3FD>","<U+200D><U+2642><U+FE0F> man running: medium skin tone"
"<U+0001F3C3><U+0001F3FD>","<U+200D><U+2642> man running: medium skin tone"
"<U+0001F3C3><U+0001F3FE>","<U+200D><U+2642><U+FE0F> man running: medium-dark skin tone"
"<U+0001F3C3><U+0001F3FE>","<U+200D><U+2642> man running: medium-dark skin tone"
"<U+0001F3C3><U+0001F3FF>","<U+200D><U+2642><U+FE0F> man running: dark skin tone"
"<U+0001F3C3><U+0001F3FF>","<U+200D><U+2642> man running: dark skin tone"
"<U+0001F3C3><U+200D>","<U+2640><U+FE0F> woman running"
"<U+0001F3C3><U+200D>","<U+2640> woman running"
"<U+0001F3C3><U+0001F3FB>","<U+200D><U+2640><U+FE0F> woman running: light skin tone"
"<U+0001F3C3><U+0001F3FB>","<U+200D><U+2640> woman running: light skin tone"
"<U+0001F3C3><U+0001F3FC>","<U+200D><U+2640><U+FE0F> woman running: medium-light skin tone"
"<U+0001F3C3><U+0001F3FC>","<U+200D><U+2640> woman running: medium-light skin tone"
"<U+0001F3C3><U+0001F3FD>","<U+200D><U+2640><U+FE0F> woman running: medium skin tone"
"<U+0001F3C3><U+0001F3FD>","<U+200D><U+2640> woman running: medium skin tone"
"<U+0001F3C3><U+0001F3FE>","<U+200D><U+2640><U+FE0F> woman running: medium-dark skin tone"
"<U+0001F3C3><U+0001F3FE>","<U+200D><U+2640> woman running: medium-dark skin tone"
"<U+0001F3C3><U+0001F3FF>","<U+200D><U+2640><U+FE0F> woman running: dark skin tone"
"<U+0001F3C3><U+0001F3FF>","<U+200D><U+2640> woman running: dark skin tone"
"<U+0001F483>","woman dancing"
"<U+0001F483><U+0001F3FB>","woman dancing: light skin tone"
"<U+0001F483><U+0001F3FC>","woman dancing: medium-light skin tone"
"<U+0001F483><U+0001F3FD>","woman dancing: medium skin tone"
"<U+0001F483><U+0001F3FE>","woman dancing: medium-dark skin tone"
"<U+0001F483><U+0001F3FF>","woman dancing: dark skin tone"
"<U+0001F57A>","man dancing"
"<U+0001F57A><U+0001F3FB>","man dancing: light skin tone"
"<U+0001F57A><U+0001F3FC>","man dancing: medium-light skin tone"
"<U+0001F57A><U+0001F3FD>","man dancing: medium skin tone"
"<U+0001F57A><U+0001F3FE>","man dancing: medium-dark skin tone"
"<U+0001F57A><U+0001F3FF>","man dancing: dark skin tone"
"<U+0001F574><U+FE0F>","man in suit levitating"
"<U+0001F574>","man in suit levitating"
"<U+0001F574><U+0001F3FB>","man in suit levitating: light skin tone"
"<U+0001F574><U+0001F3FC>","man in suit levitating: medium-light skin tone"
"<U+0001F574><U+0001F3FD>","man in suit levitating: medium skin tone"
"<U+0001F574><U+0001F3FE>","man in suit levitating: medium-dark skin tone"
"<U+0001F574><U+0001F3FF>","man in suit levitating: dark skin tone"
"<U+0001F46F>","people with bunny ears"
"<U+0001F46F><U+200D>","<U+2642><U+FE0F> men with bunny ears"
"<U+0001F46F><U+200D>","<U+2642> men with bunny ears"
"<U+0001F46F><U+200D>","<U+2640><U+FE0F> women with bunny ears"
"<U+0001F46F><U+200D>","<U+2640> women with bunny ears"
"<U+0001F9D6>","person in steamy room"
"<U+0001F9D6><U+0001F3FB>","person in steamy room: light skin tone"
"<U+0001F9D6><U+0001F3FC>","person in steamy room: medium-light skin tone"
"<U+0001F9D6><U+0001F3FD>","person in steamy room: medium skin tone"
"<U+0001F9D6><U+0001F3FE>","person in steamy room: medium-dark skin tone"
"<U+0001F9D6><U+0001F3FF>","person in steamy room: dark skin tone"
"<U+0001F9D6><U+200D>","<U+2642><U+FE0F> man in steamy room"
"<U+0001F9D6><U+200D>","<U+2642> man in steamy room"
"<U+0001F9D6><U+0001F3FB>","<U+200D><U+2642><U+FE0F> man in steamy room: light skin tone"
"<U+0001F9D6><U+0001F3FB>","<U+200D><U+2642> man in steamy room: light skin tone"
"<U+0001F9D6><U+0001F3FC>","<U+200D><U+2642><U+FE0F> man in steamy room: medium-light skin tone"
"<U+0001F9D6><U+0001F3FC>","<U+200D><U+2642> man in steamy room: medium-light skin tone"
"<U+0001F9D6><U+0001F3FD>","<U+200D><U+2642><U+FE0F> man in steamy room: medium skin tone"
"<U+0001F9D6><U+0001F3FD>","<U+200D><U+2642> man in steamy room: medium skin tone"
"<U+0001F9D6><U+0001F3FE>","<U+200D><U+2642><U+FE0F> man in steamy room: medium-dark skin tone"
"<U+0001F9D6><U+0001F3FE>","<U+200D><U+2642> man in steamy room: medium-dark skin tone"
"<U+0001F9D6><U+0001F3FF>","<U+200D><U+2642><U+FE0F> man in steamy room: dark skin tone"
"<U+0001F9D6><U+0001F3FF>","<U+200D><U+2642> man in steamy room: dark skin tone"
"<U+0001F9D6><U+200D>","<U+2640><U+FE0F> woman in steamy room"
"<U+0001F9D6><U+200D>","<U+2640> woman in steamy room"
"<U+0001F9D6><U+0001F3FB>","<U+200D><U+2640><U+FE0F> woman in steamy room: light skin tone"
"<U+0001F9D6><U+0001F3FB>","<U+200D><U+2640> woman in steamy room: light skin tone"
"<U+0001F9D6><U+0001F3FC>","<U+200D><U+2640><U+FE0F> woman in steamy room: medium-light skin tone"
"<U+0001F9D6><U+0001F3FC>","<U+200D><U+2640> woman in steamy room: medium-light skin tone"
"<U+0001F9D6><U+0001F3FD>","<U+200D><U+2640><U+FE0F> woman in steamy room: medium skin tone"
"<U+0001F9D6><U+0001F3FD>","<U+200D><U+2640> woman in steamy room: medium skin tone"
"<U+0001F9D6><U+0001F3FE>","<U+200D><U+2640><U+FE0F> woman in steamy room: medium-dark skin tone"
"<U+0001F9D6><U+0001F3FE>","<U+200D><U+2640> woman in steamy room: medium-dark skin tone"
"<U+0001F9D6><U+0001F3FF>","<U+200D><U+2640><U+FE0F> woman in steamy room: dark skin tone"
"<U+0001F9D6><U+0001F3FF>","<U+200D><U+2640> woman in steamy room: dark skin tone"
"<U+0001F9D7>","person climbing"
"<U+0001F9D7><U+0001F3FB>","person climbing: light skin tone"
"<U+0001F9D7><U+0001F3FC>","person climbing: medium-light skin tone"
"<U+0001F9D7><U+0001F3FD>","person climbing: medium skin tone"
"<U+0001F9D7><U+0001F3FE>","person climbing: medium-dark skin tone"
"<U+0001F9D7><U+0001F3FF>","person climbing: dark skin tone"
"<U+0001F9D7><U+200D>","<U+2642><U+FE0F> man climbing"
"<U+0001F9D7><U+200D>","<U+2642> man climbing"
"<U+0001F9D7><U+0001F3FB>","<U+200D><U+2642><U+FE0F> man climbing: light skin tone"
"<U+0001F9D7><U+0001F3FB>","<U+200D><U+2642> man climbing: light skin tone"
"<U+0001F9D7><U+0001F3FC>","<U+200D><U+2642><U+FE0F> man climbing: medium-light skin tone"
"<U+0001F9D7><U+0001F3FC>","<U+200D><U+2642> man climbing: medium-light skin tone"
"<U+0001F9D7><U+0001F3FD>","<U+200D><U+2642><U+FE0F> man climbing: medium skin tone"
"<U+0001F9D7><U+0001F3FD>","<U+200D><U+2642> man climbing: medium skin tone"
"<U+0001F9D7><U+0001F3FE>","<U+200D><U+2642><U+FE0F> man climbing: medium-dark skin tone"
"<U+0001F9D7><U+0001F3FE>","<U+200D><U+2642> man climbing: medium-dark skin tone"
"<U+0001F9D7><U+0001F3FF>","<U+200D><U+2642><U+FE0F> man climbing: dark skin tone"
"<U+0001F9D7><U+0001F3FF>","<U+200D><U+2642> man climbing: dark skin tone"
"<U+0001F9D7><U+200D>","<U+2640><U+FE0F> woman climbing"
"<U+0001F9D7><U+200D>","<U+2640> woman climbing"
"<U+0001F9D7><U+0001F3FB>","<U+200D><U+2640><U+FE0F> woman climbing: light skin tone"
"<U+0001F9D7><U+0001F3FB>","<U+200D><U+2640> woman climbing: light skin tone"
"<U+0001F9D7><U+0001F3FC>","<U+200D><U+2640><U+FE0F> woman climbing: medium-light skin tone"
"<U+0001F9D7><U+0001F3FC>","<U+200D><U+2640> woman climbing: medium-light skin tone"
"<U+0001F9D7><U+0001F3FD>","<U+200D><U+2640><U+FE0F> woman climbing: medium skin tone"
"<U+0001F9D7><U+0001F3FD>","<U+200D><U+2640> woman climbing: medium skin tone"
"<U+0001F9D7><U+0001F3FE>","<U+200D><U+2640><U+FE0F> woman climbing: medium-dark skin tone"
"<U+0001F9D7><U+0001F3FE>","<U+200D><U+2640> woman climbing: medium-dark skin tone"
"<U+0001F9D7><U+0001F3FF>","<U+200D><U+2640><U+FE0F> woman climbing: dark skin tone"
"<U+0001F9D7><U+0001F3FF>","<U+200D><U+2640> woman climbing: dark skin tone"
"<U+0001F93A>","person fencing"
"<U+0001F3C7>","horse racing"
"<U+0001F3C7><U+0001F3FB>","horse racing: light skin tone"
"<U+0001F3C7><U+0001F3FC>","horse racing: medium-light skin tone"
"<U+0001F3C7><U+0001F3FD>","horse racing: medium skin tone"
"<U+0001F3C7><U+0001F3FE>","horse racing: medium-dark skin tone"
"<U+0001F3C7><U+0001F3FF>","horse racing: dark skin tone"
"<U+26F7><U+FE0F>","skier"
"<U+26F7>","skier"
"<U+0001F3C2>","snowboarder"
"<U+0001F3C2><U+0001F3FB>","snowboarder: light skin tone"
"<U+0001F3C2><U+0001F3FC>","snowboarder: medium-light skin tone"
"<U+0001F3C2><U+0001F3FD>","snowboarder: medium skin tone"
"<U+0001F3C2><U+0001F3FE>","snowboarder: medium-dark skin tone"
"<U+0001F3C2><U+0001F3FF>","snowboarder: dark skin tone"
"<U+0001F3CC><U+FE0F>","person golfing"
"<U+0001F3CC>","person golfing"
"<U+0001F3CC><U+0001F3FB>","person golfing: light skin tone"
"<U+0001F3CC><U+0001F3FC>","person golfing: medium-light skin tone"
"<U+0001F3CC><U+0001F3FD>","person golfing: medium skin tone"
"<U+0001F3CC><U+0001F3FE>","person golfing: medium-dark skin tone"
"<U+0001F3CC><U+0001F3FF>","person golfing: dark skin tone"
"<U+0001F3CC><U+FE0F>","<U+200D><U+2642><U+FE0F> man golfing"
"<U+0001F3CC><U+200D>","<U+2642><U+FE0F> man golfing"
"<U+0001F3CC><U+FE0F>","<U+200D><U+2642> man golfing"
"<U+0001F3CC><U+200D>","<U+2642> man golfing"
"<U+0001F3CC><U+0001F3FB>","<U+200D><U+2642><U+FE0F> man golfing: light skin tone"
"<U+0001F3CC><U+0001F3FB>","<U+200D><U+2642> man golfing: light skin tone"
"<U+0001F3CC><U+0001F3FC>","<U+200D><U+2642><U+FE0F> man golfing: medium-light skin tone"
"<U+0001F3CC><U+0001F3FC>","<U+200D><U+2642> man golfing: medium-light skin tone"
"<U+0001F3CC><U+0001F3FD>","<U+200D><U+2642><U+FE0F> man golfing: medium skin tone"
"<U+0001F3CC><U+0001F3FD>","<U+200D><U+2642> man golfing: medium skin tone"
"<U+0001F3CC><U+0001F3FE>","<U+200D><U+2642><U+FE0F> man golfing: medium-dark skin tone"
"<U+0001F3CC><U+0001F3FE>","<U+200D><U+2642> man golfing: medium-dark skin tone"
"<U+0001F3CC><U+0001F3FF>","<U+200D><U+2642><U+FE0F> man golfing: dark skin tone"
"<U+0001F3CC><U+0001F3FF>","<U+200D><U+2642> man golfing: dark skin tone"
"<U+0001F3CC><U+FE0F>","<U+200D><U+2640><U+FE0F> woman golfing"
"<U+0001F3CC><U+200D>","<U+2640><U+FE0F> woman golfing"
"<U+0001F3CC><U+FE0F>","<U+200D><U+2640> woman golfing"
"<U+0001F3CC><U+200D>","<U+2640> woman golfing"
"<U+0001F3CC><U+0001F3FB>","<U+200D><U+2640><U+FE0F> woman golfing: light skin tone"
"<U+0001F3CC><U+0001F3FB>","<U+200D><U+2640> woman golfing: light skin tone"
"<U+0001F3CC><U+0001F3FC>","<U+200D><U+2640><U+FE0F> woman golfing: medium-light skin tone"
"<U+0001F3CC><U+0001F3FC>","<U+200D><U+2640> woman golfing: medium-light skin tone"
"<U+0001F3CC><U+0001F3FD>","<U+200D><U+2640><U+FE0F> woman golfing: medium skin tone"
"<U+0001F3CC><U+0001F3FD>","<U+200D><U+2640> woman golfing: medium skin tone"
"<U+0001F3CC><U+0001F3FE>","<U+200D><U+2640><U+FE0F> woman golfing: medium-dark skin tone"
"<U+0001F3CC><U+0001F3FE>","<U+200D><U+2640> woman golfing: medium-dark skin tone"
"<U+0001F3CC><U+0001F3FF>","<U+200D><U+2640><U+FE0F> woman golfing: dark skin tone"
"<U+0001F3CC><U+0001F3FF>","<U+200D><U+2640> woman golfing: dark skin tone"
"<U+0001F3C4>","person surfing"
"<U+0001F3C4><U+0001F3FB>","person surfing: light skin tone"
"<U+0001F3C4><U+0001F3FC>","person surfing: medium-light skin tone"
"<U+0001F3C4><U+0001F3FD>","person surfing: medium skin tone"
"<U+0001F3C4><U+0001F3FE>","person surfing: medium-dark skin tone"
"<U+0001F3C4><U+0001F3FF>","person surfing: dark skin tone"
"<U+0001F3C4><U+200D>","<U+2642><U+FE0F> man surfing"
"<U+0001F3C4><U+200D>","<U+2642> man surfing"
"<U+0001F3C4><U+0001F3FB>","<U+200D><U+2642><U+FE0F> man surfing: light skin tone"
"<U+0001F3C4><U+0001F3FB>","<U+200D><U+2642> man surfing: light skin tone"
"<U+0001F3C4><U+0001F3FC>","<U+200D><U+2642><U+FE0F> man surfing: medium-light skin tone"
"<U+0001F3C4><U+0001F3FC>","<U+200D><U+2642> man surfing: medium-light skin tone"
"<U+0001F3C4><U+0001F3FD>","<U+200D><U+2642><U+FE0F> man surfing: medium skin tone"
"<U+0001F3C4><U+0001F3FD>","<U+200D><U+2642> man surfing: medium skin tone"
"<U+0001F3C4><U+0001F3FE>","<U+200D><U+2642><U+FE0F> man surfing: medium-dark skin tone"
"<U+0001F3C4><U+0001F3FE>","<U+200D><U+2642> man surfing: medium-dark skin tone"
"<U+0001F3C4><U+0001F3FF>","<U+200D><U+2642><U+FE0F> man surfing: dark skin tone"
"<U+0001F3C4><U+0001F3FF>","<U+200D><U+2642> man surfing: dark skin tone"
"<U+0001F3C4><U+200D>","<U+2640><U+FE0F> woman surfing"
"<U+0001F3C4><U+200D>","<U+2640> woman surfing"
"<U+0001F3C4><U+0001F3FB>","<U+200D><U+2640><U+FE0F> woman surfing: light skin tone"
"<U+0001F3C4><U+0001F3FB>","<U+200D><U+2640> woman surfing: light skin tone"
"<U+0001F3C4><U+0001F3FC>","<U+200D><U+2640><U+FE0F> woman surfing: medium-light skin tone"
"<U+0001F3C4><U+0001F3FC>","<U+200D><U+2640> woman surfing: medium-light skin tone"
"<U+0001F3C4><U+0001F3FD>","<U+200D><U+2640><U+FE0F> woman surfing: medium skin tone"
"<U+0001F3C4><U+0001F3FD>","<U+200D><U+2640> woman surfing: medium skin tone"
"<U+0001F3C4><U+0001F3FE>","<U+200D><U+2640><U+FE0F> woman surfing: medium-dark skin tone"
"<U+0001F3C4><U+0001F3FE>","<U+200D><U+2640> woman surfing: medium-dark skin tone"
"<U+0001F3C4><U+0001F3FF>","<U+200D><U+2640><U+FE0F> woman surfing: dark skin tone"
"<U+0001F3C4><U+0001F3FF>","<U+200D><U+2640> woman surfing: dark skin tone"
"<U+0001F6A3>","person rowing boat"
"<U+0001F6A3><U+0001F3FB>","person rowing boat: light skin tone"
"<U+0001F6A3><U+0001F3FC>","person rowing boat: medium-light skin tone"
"<U+0001F6A3><U+0001F3FD>","person rowing boat: medium skin tone"
"<U+0001F6A3><U+0001F3FE>","person rowing boat: medium-dark skin tone"
"<U+0001F6A3><U+0001F3FF>","person rowing boat: dark skin tone"
"<U+0001F6A3><U+200D>","<U+2642><U+FE0F> man rowing boat"
"<U+0001F6A3><U+200D>","<U+2642> man rowing boat"
"<U+0001F6A3><U+0001F3FB>","<U+200D><U+2642><U+FE0F> man rowing boat: light skin tone"
"<U+0001F6A3><U+0001F3FB>","<U+200D><U+2642> man rowing boat: light skin tone"
"<U+0001F6A3><U+0001F3FC>","<U+200D><U+2642><U+FE0F> man rowing boat: medium-light skin tone"
"<U+0001F6A3><U+0001F3FC>","<U+200D><U+2642> man rowing boat: medium-light skin tone"
"<U+0001F6A3><U+0001F3FD>","<U+200D><U+2642><U+FE0F> man rowing boat: medium skin tone"
"<U+0001F6A3><U+0001F3FD>","<U+200D><U+2642> man rowing boat: medium skin tone"
"<U+0001F6A3><U+0001F3FE>","<U+200D><U+2642><U+FE0F> man rowing boat: medium-dark skin tone"
"<U+0001F6A3><U+0001F3FE>","<U+200D><U+2642> man rowing boat: medium-dark skin tone"
"<U+0001F6A3><U+0001F3FF>","<U+200D><U+2642><U+FE0F> man rowing boat: dark skin tone"
"<U+0001F6A3><U+0001F3FF>","<U+200D><U+2642> man rowing boat: dark skin tone"
"<U+0001F6A3><U+200D>","<U+2640><U+FE0F> woman rowing boat"
"<U+0001F6A3><U+200D>","<U+2640> woman rowing boat"
"<U+0001F6A3><U+0001F3FB>","<U+200D><U+2640><U+FE0F> woman rowing boat: light skin tone"
"<U+0001F6A3><U+0001F3FB>","<U+200D><U+2640> woman rowing boat: light skin tone"
"<U+0001F6A3><U+0001F3FC>","<U+200D><U+2640><U+FE0F> woman rowing boat: medium-light skin tone"
"<U+0001F6A3><U+0001F3FC>","<U+200D><U+2640> woman rowing boat: medium-light skin tone"
"<U+0001F6A3><U+0001F3FD>","<U+200D><U+2640><U+FE0F> woman rowing boat: medium skin tone"
"<U+0001F6A3><U+0001F3FD>","<U+200D><U+2640> woman rowing boat: medium skin tone"
"<U+0001F6A3><U+0001F3FE>","<U+200D><U+2640><U+FE0F> woman rowing boat: medium-dark skin tone"
"<U+0001F6A3><U+0001F3FE>","<U+200D><U+2640> woman rowing boat: medium-dark skin tone"
"<U+0001F6A3><U+0001F3FF>","<U+200D><U+2640><U+FE0F> woman rowing boat: dark skin tone"
"<U+0001F6A3><U+0001F3FF>","<U+200D><U+2640> woman rowing boat: dark skin tone"
"<U+0001F3CA>","person swimming"
"<U+0001F3CA><U+0001F3FB>","person swimming: light skin tone"
"<U+0001F3CA><U+0001F3FC>","person swimming: medium-light skin tone"
"<U+0001F3CA><U+0001F3FD>","person swimming: medium skin tone"
"<U+0001F3CA><U+0001F3FE>","person swimming: medium-dark skin tone"
"<U+0001F3CA><U+0001F3FF>","person swimming: dark skin tone"
"<U+0001F3CA><U+200D>","<U+2642><U+FE0F> man swimming"
"<U+0001F3CA><U+200D>","<U+2642> man swimming"
"<U+0001F3CA><U+0001F3FB>","<U+200D><U+2642><U+FE0F> man swimming: light skin tone"
"<U+0001F3CA><U+0001F3FB>","<U+200D><U+2642> man swimming: light skin tone"
"<U+0001F3CA><U+0001F3FC>","<U+200D><U+2642><U+FE0F> man swimming: medium-light skin tone"
"<U+0001F3CA><U+0001F3FC>","<U+200D><U+2642> man swimming: medium-light skin tone"
"<U+0001F3CA><U+0001F3FD>","<U+200D><U+2642><U+FE0F> man swimming: medium skin tone"
"<U+0001F3CA><U+0001F3FD>","<U+200D><U+2642> man swimming: medium skin tone"
"<U+0001F3CA><U+0001F3FE>","<U+200D><U+2642><U+FE0F> man swimming: medium-dark skin tone"
"<U+0001F3CA><U+0001F3FE>","<U+200D><U+2642> man swimming: medium-dark skin tone"
"<U+0001F3CA><U+0001F3FF>","<U+200D><U+2642><U+FE0F> man swimming: dark skin tone"
"<U+0001F3CA><U+0001F3FF>","<U+200D><U+2642> man swimming: dark skin tone"
"<U+0001F3CA><U+200D>","<U+2640><U+FE0F> woman swimming"
"<U+0001F3CA><U+200D>","<U+2640> woman swimming"
"<U+0001F3CA><U+0001F3FB>","<U+200D><U+2640><U+FE0F> woman swimming: light skin tone"
"<U+0001F3CA><U+0001F3FB>","<U+200D><U+2640> woman swimming: light skin tone"
"<U+0001F3CA><U+0001F3FC>","<U+200D><U+2640><U+FE0F> woman swimming: medium-light skin tone"
"<U+0001F3CA><U+0001F3FC>","<U+200D><U+2640> woman swimming: medium-light skin tone"
"<U+0001F3CA><U+0001F3FD>","<U+200D><U+2640><U+FE0F> woman swimming: medium skin tone"
"<U+0001F3CA><U+0001F3FD>","<U+200D><U+2640> woman swimming: medium skin tone"
"<U+0001F3CA><U+0001F3FE>","<U+200D><U+2640><U+FE0F> woman swimming: medium-dark skin tone"
"<U+0001F3CA><U+0001F3FE>","<U+200D><U+2640> woman swimming: medium-dark skin tone"
"<U+0001F3CA><U+0001F3FF>","<U+200D><U+2640><U+FE0F> woman swimming: dark skin tone"
"<U+0001F3CA><U+0001F3FF>","<U+200D><U+2640> woman swimming: dark skin tone"
"<U+26F9><U+FE0F>","person bouncing ball"
"<U+26F9>","person bouncing ball"
"<U+26F9><U+0001F3FB>","person bouncing ball: light skin tone"
"<U+26F9><U+0001F3FC>","person bouncing ball: medium-light skin tone"
"<U+26F9><U+0001F3FD>","person bouncing ball: medium skin tone"
"<U+26F9><U+0001F3FE>","person bouncing ball: medium-dark skin tone"
"<U+26F9><U+0001F3FF>","person bouncing ball: dark skin tone"
"<U+26F9><U+FE0F>","<U+200D><U+2642><U+FE0F> man bouncing ball"
"<U+26F9><U+200D>","<U+2642><U+FE0F> man bouncing ball"
"<U+26F9><U+FE0F>","<U+200D><U+2642> man bouncing ball"
"<U+26F9><U+200D>","<U+2642> man bouncing ball"
"<U+26F9><U+0001F3FB>","<U+200D><U+2642><U+FE0F> man bouncing ball: light skin tone"
"<U+26F9><U+0001F3FB>","<U+200D><U+2642> man bouncing ball: light skin tone"
"<U+26F9><U+0001F3FC>","<U+200D><U+2642><U+FE0F> man bouncing ball: medium-light skin tone"
"<U+26F9><U+0001F3FC>","<U+200D><U+2642> man bouncing ball: medium-light skin tone"
"<U+26F9><U+0001F3FD>","<U+200D><U+2642><U+FE0F> man bouncing ball: medium skin tone"
"<U+26F9><U+0001F3FD>","<U+200D><U+2642> man bouncing ball: medium skin tone"
"<U+26F9><U+0001F3FE>","<U+200D><U+2642><U+FE0F> man bouncing ball: medium-dark skin tone"
"<U+26F9><U+0001F3FE>","<U+200D><U+2642> man bouncing ball: medium-dark skin tone"
"<U+26F9><U+0001F3FF>","<U+200D><U+2642><U+FE0F> man bouncing ball: dark skin tone"
"<U+26F9><U+0001F3FF>","<U+200D><U+2642> man bouncing ball: dark skin tone"
"<U+26F9><U+FE0F>","<U+200D><U+2640><U+FE0F> woman bouncing ball"
"<U+26F9><U+200D>","<U+2640><U+FE0F> woman bouncing ball"
"<U+26F9><U+FE0F>","<U+200D><U+2640> woman bouncing ball"
"<U+26F9><U+200D>","<U+2640> woman bouncing ball"
"<U+26F9><U+0001F3FB>","<U+200D><U+2640><U+FE0F> woman bouncing ball: light skin tone"
"<U+26F9><U+0001F3FB>","<U+200D><U+2640> woman bouncing ball: light skin tone"
"<U+26F9><U+0001F3FC>","<U+200D><U+2640><U+FE0F> woman bouncing ball: medium-light skin tone"
"<U+26F9><U+0001F3FC>","<U+200D><U+2640> woman bouncing ball: medium-light skin tone"
"<U+26F9><U+0001F3FD>","<U+200D><U+2640><U+FE0F> woman bouncing ball: medium skin tone"
"<U+26F9><U+0001F3FD>","<U+200D><U+2640> woman bouncing ball: medium skin tone"
"<U+26F9><U+0001F3FE>","<U+200D><U+2640><U+FE0F> woman bouncing ball: medium-dark skin tone"
"<U+26F9><U+0001F3FE>","<U+200D><U+2640> woman bouncing ball: medium-dark skin tone"
"<U+26F9><U+0001F3FF>","<U+200D><U+2640><U+FE0F> woman bouncing ball: dark skin tone"
"<U+26F9><U+0001F3FF>","<U+200D><U+2640> woman bouncing ball: dark skin tone"
"<U+0001F3CB><U+FE0F>","person lifting weights"
"<U+0001F3CB>","person lifting weights"
"<U+0001F3CB><U+0001F3FB>","person lifting weights: light skin tone"
"<U+0001F3CB><U+0001F3FC>","person lifting weights: medium-light skin tone"
"<U+0001F3CB><U+0001F3FD>","person lifting weights: medium skin tone"
"<U+0001F3CB><U+0001F3FE>","person lifting weights: medium-dark skin tone"
"<U+0001F3CB><U+0001F3FF>","person lifting weights: dark skin tone"
"<U+0001F3CB><U+FE0F>","<U+200D><U+2642><U+FE0F> man lifting weights"
"<U+0001F3CB><U+200D>","<U+2642><U+FE0F> man lifting weights"
"<U+0001F3CB><U+FE0F>","<U+200D><U+2642> man lifting weights"
"<U+0001F3CB><U+200D>","<U+2642> man lifting weights"
"<U+0001F3CB><U+0001F3FB>","<U+200D><U+2642><U+FE0F> man lifting weights: light skin tone"
"<U+0001F3CB><U+0001F3FB>","<U+200D><U+2642> man lifting weights: light skin tone"
